x,y,time,id_pan
232115.42297825683,6347796.467044737,1652880692673,25
232091.53640691773,6347753.471216326,1652880692773,25
232091.53640691773,6347753.471216326,1652880692884,25
232091.53640691773,6347753.471216326,1652880692978,25
232091.53640691773,6347753.471216326,1652880693086,25
232086.7590926499,6347753.471216326,1652880693174,25
232058.09520704296,6347791.689730468,1652880693274,25
231995.99012156128,6347877.681387289,1652880693373,25
231981.65817875782,6347963.67304411,1652880693473,25
231981.65817875782,6348021.000815325,1652880693574,25
231972.10355022218,6348059.219329469,1652880693674,25
231972.10355022218,6348059.219329469,1652880693775,25
231972.10355022218,6348059.219329469,1652880693885,25
231972.10355022218,6348063.996643737,1652880693974,25
231972.10355022218,6348130.879043488,1652880694073,25
231976.88086449,6348149.98830056,1652880694173,25
231981.65817875782,6348164.320243364,1652880694278,25
231981.65817875782,6348164.320243364,1652880694373,25
231981.65817875782,6348164.320243364,1652880694484,25
231981.65817875782,6348164.320243364,1652880694579,25
231981.65817875782,6348164.320243364,1652880694674,25
231981.65817875782,6348149.98830056,1652880694773,25
231981.65817875782,6348097.437843612,1652880694874,25
231981.65817875782,6348049.664700932,1652880694973,25
231976.88086449,6348001.891558251,1652880695074,25
231783.49004594528,6347170.986089694,1652880698574,26
231788.2673602131,6346999.002776053,1652880698674,26
231793.04467448092,6346750.582434125,1652880698773,26
231793.04467448092,6346678.922720107,1652880698874,26
231793.04467448092,6346674.145405839,1652880698974,26
231793.04467448092,6346674.145405839,1652880699085,26
231793.04467448092,6346674.145405839,1652880699179,26
231793.04467448092,6346674.145405839,1652880699288,26
231793.04467448092,6346678.922720107,1652880699373,26
231788.2673602131,6346798.355576803,1652880699473,26
231778.71273167746,6347018.112033123,1652880699573,26
231750.04884607054,6347333.4147748,1652880699674,26
231788.2673602131,6347505.398088442,1652880699773,26
231850.37244569475,6347620.05363087,1652880699874,26
231950.69604531905,6347744.263801834,1652880699973,26
231984.1372451938,6347796.814258782,1652880700073,26
231998.46918799725,6347835.032772927,1652880700174,26
231998.46918799725,6347844.587401463,1652880700274,26
231998.46918799725,6347878.028601339,1652880700374,26
231969.8053023903,6347925.80174402,1652880700473,26
231926.80947397993,6347973.574886699,1652880700574,26
231946.0157132497,6348192.993577177,1652880702573,27
231950.79302751756,6348009.066977865,1652880702673,27
231955.57034178535,6347808.419778617,1652880702777,27
231955.57034178535,6347803.642464349,1652880702873,27
231955.57034178535,6347803.642464349,1652880702973,27
231955.57034178535,6347803.642464349,1652880703074,27
231955.57034178535,6347803.642464349,1652880703186,27
231955.57034178535,6347803.642464349,1652880703273,27
231979.45691312445,6347686.598264786,1652880703372,27
232573.37003363323,6347646.942453343,1652880705575,28
232637.86377624882,6347601.557967798,1652880705675,28
232711.91214740003,6347575.282739324,1652880705775,28
232797.90380422084,6347558.562139385,1652880705875,28
232838.51097549728,6347541.841539447,1652880705975,28
232867.1748611042,6347525.120939509,1652880706076,28
232934.0572608537,6347479.736453963,1652880706175,28
232953.16651792492,6347458.238539757,1652880706276,28
